vietnamese,english
bạn có khỏe không,how are you
tôi khỏe,I am fine
tôi nhớ bạn,I miss you
con nhớ mẹ,I miss you mom
con nhớ ba,I miss you dad
con yêu mẹ,I love you mom
con yêu ba,I love you dad
ăn cơm chưa,have you eaten yet
ăn rồi,already ate
chưa ăn,not yet eaten
đang làm gì,what are you doing
không có gì,nothing much
đi ngủ đi,go to sleep
ngủ ngon nha,sleep well
cẩn thận nha,be careful
giữ sức khỏe,take care of your health
gọi cho con,call me
nhắn tin cho con,text me
khi nào về,when are you coming back
con về rồi,I am home now
đang đi làm,going to work
đang ở nhà,at home
đợi con một chút,wait for me a moment
con đang tới,I am on my way
gặp nhau khi nào,when can we meet
cuối tuần này,this weekend
tối nay,tonight
chúc một ngày vui,have a nice day
